38,002926,华西证券,详情 数据 股吧,10.33,0.78%,-223.48万,-0.56%,-552.57万,-1.40%,329.09万,0.83%,-208.50万,-0.53%,431.98万,1.09%,券商信托
39,601375,中原证券,详情 数据 股吧,5.24,0.77%,-341.46万,-1.53%,-794.39万,-3.56%,452.94万,2.03%,457.34万,2.05%,-115.89万,-0.52%,券商信托
40,600909,华安证券,详情 数据 股吧,7.10,1.87%,-983.23万,-1.13%,564.12万,0.65%,-1547.35万,-1.78%,921.66万,1.06%,61.57万,0.07%,券商信托
41,601990,南京证券,详情 数据 股吧,13.63,2.02%,-1725.63万,-0.58%,-3892.59万,-1.31%,2166.96万,0.73%,-627.02万,-0.21%,2352.65万,0.79%,券商信托
42,002797,第一创业,详情 数据 股吧,7.16,1.42%,-2243.50万,-3.14%,249.91万,0.35%,-2493.40万,-3.49%,-1023.99万,-1.43%,3267.49万,4.58%,券商信托
43,601162,天风证券,详情 数据 股吧,6.18,0.32%,-3089.89万,-3.31%,-2950.99万,-3.16%,-138.90万,-0.15%,117.69万,0.13%,2972.20万,3.18%,券商信托
1,002258,利尔化学,详情 数据 股吧,15.01,6.08%,2323.66万,8.02%,324.23万,1.12%,1999.44万,6.90%,-612.54万,-2.11%,-1711.12万,-5.91%,农药兽药
2,600596,新安股份,详情 数据 股吧,9.64,3.88%,1099.63万,3.06%,-173.09万,-0.48%,1272.72万,3.54%,349.27万,0.97%,-1448.90万,-4.04%,农药兽药
3,002734,利民股份,详情 数据 股吧,14.23,2.08%,786.08万,7.56%,11.81万,0.11%,774.26万,7.45%,-620.88万,-5.97%,-165.20万,-1.59%,农药兽药
4,600389,江山股份,详情 数据 股吧,21.93,4.33%,415.52万,2.14%,713.36万,3.68%,-297.84万,-1.54%,-85.50万,-0.44%,-330.03万,-1.70%,农药兽药
5,600538,国发股份,详情 数据 股吧,4.97,0.40%,363.92万,6.76%,-72.56万,-1.35%,436.48万,8.11%,-12.96万,-0.24%,-350.95万,-6.52%,农药兽药
6,002496,辉丰股份,详情 数据 股吧,2.69,-1.10%,218.42万,1.96%,-416.56万,-3.74%,634.98万,5.70%,-285.12万,-2.56%,66.69万,0.60%,农药兽药
