
1.38%,0.20%,207.06%,3.29,4.50%,0.04次,69.60%,4136万,9.19亿,9.19亿,218亿,151亿,218亿,12.2亿,8.53亿,206亿,12.0亿,9.19亿,6116万,7.56亿,73.7亿,--,4354万,1.06亿,634万,--,--,--,651万,2764万,-847万,7196万,2.60亿,5847万,1.91亿,--,497万,2285万,1632万,3758万,190万,7.60亿,--,6861万,2.26亿,--,4329万,140万,9852万,券商信托600621
3.31%,0.74%,97.53%,4.79,13.12%,0.06次,79.13%,17.9亿,136亿,136亿,2555亿,2022亿,2555亿,167亿,44.7亿,--,--,136亿,--,--,448亿,--,1.29亿,10.5亿,4795万,--,--,--,1.44亿,2.88亿,--,--,45.4亿,3214万,19.3亿,--,--,--,2725万,--,4963万,--,--,20.3亿,7.75亿,--,6501万,--,--,券商信托600958
2.98%,1.04%,99.08%,2.80,17.65%,0.06次,64.25%,5.27亿,29.9亿,29.9亿,496亿,319亿,496亿,43.5亿,14.1亿,--,--,29.9亿,--,--,113亿,--,1.61亿,2.63亿,1626万,--,--,--,111万,1.73亿,--,--,4751万,624万,11.0亿,--,--,--,--,--,88.9万,--,--,1.67亿,6.29亿,--,6421万,--,--,券商信托002673
4.42%,1.80%,100.49%,2.46,30.07%,0.06次,59.41%,8.73亿,29.0亿,29.0亿,502亿,298亿,502亿,37.2亿,20.8亿,--,--,29.0亿,--,--,151亿,--,5463万,1.46亿,1487万,--,--,--,2086万,2.95亿,--,--,5.73亿,8206万,6.47亿,--,--,--,--,--,230万,--,--,6608万,3.21亿,--,--,--,--,券商信托600109
8.65%,1.74%,99.27%,4.43,39.68%,0.04次,77.44%,38.5亿,97.0亿,97.0亿,2466亿,1910亿,2466亿,127亿,58.7亿,--,--,97.0亿,--,--,614亿,--,1.89亿,10.1亿,7067万,--,--,--,1364万,12.1亿,--,--,1.51亿,--,19.6亿,--,--,--,4380万,--,1811万,--,--,4.59亿,9.72亿,--,--,--,--,券商信托601066
2.80%,0.73%,101.49%,3.57,21.32%,0.03次,72.03%,10.6亿,49.7亿,49.7亿,1416亿,1020亿,1416亿,58.4亿,32.6亿,--,--,49.7亿,--,--,336亿,--,1.95亿,-4.48亿,3765万,--,--,--,3539万,1.29亿,--,--,--,45.2亿,12.8亿,--,--,--,1.47亿,--,4463万,--,--,5.14亿,4.01亿,--,486万,--,--,券商信托601901
5.67%,1.40%,99.51%,4.31,32.21%,0.04次,76.81%,38.8亿,120亿,120亿,3041亿,2336亿,3041亿,154亿,66.1亿,--,--,120亿,--,--,703亿,--,4.92亿,16.6亿,8928万,--,--,--,1028万,12.4亿,--,--,13.1亿,4.41亿,17.1亿,780万,--,--,808万,--,3410万,--,--,2.71亿,1.02亿,--,--,--,--,券商信托601881
4.54%,1.02%,99.87%,4.63,23.81%,0.04次,78.42%,9.27亿,38.9亿,38.9亿,976亿,765亿,976亿,51.0亿,19.4亿,--,--,38.9亿,--,--,175亿,--,1.72亿,1.02亿,2574万,--,--,--,95.2万,3.24亿,--,--,11.5亿,2.09亿,11.1亿,--,--,--,--,--,335万,--,--,6.38亿,5.21亿,--,--,--,--,券商信托601555
3.55%,1.00%,102.44%,3.38,28.14%,0.04次,70.37%,6.56亿,23.3亿,23.3亿,673亿,473亿,673亿,36.9亿,15.5亿,--,--,23.3亿,--,--,135亿,--,1.58亿,5.99亿,1716万,--,--,--,31.2万,1.16亿,--,--,19.2亿,1.94亿,7.55亿,--,--,--,3311万,--,470万,--,--,2.97亿,4.09亿,--,4.86亿,--,--,券商信托600369
7.39%,1.73%,99.94%,3.99,37.87%,0.05次,74.96%,37.4亿,98.7亿,98.7亿,2195亿,1645亿,2195亿,135亿,52.4亿,--,--,98.7亿,--,--,514亿,--,6.23亿,8.07亿,7537万,--,--,--,2781万,10.6亿,--,--,28.1亿,1026万,28.5亿,--,--,--,1.03亿,--,1.56亿,--,--,13.5亿,14.7亿,--,7.76亿,--,--,券商信托002736
6.26%,1.33%,99.06%,4.45,29.24%,0.05次,77.53%,48.0亿,164亿,164亿,3722亿,2886亿,3722亿,208亿,64.8亿,--,--,164亿,--,--,820亿,--,1.29亿,3.81亿,9886万,--,--,--,455万,10.4亿,--,--,24.9亿,--,39.6亿,-2517万,--,--,6482万,--,2186万,--,--,11.9亿,13.7亿,--,1.44亿,--,--,券商信托000166
4.05%,0.89%,99.56%,4.38,11.73%,0.08次,77.18%,5.10亿,43.5亿,43.5亿,580亿,447亿,580亿,54.5亿,13.1亿,--,--,43.5亿,--,--,142亿,--,1.02亿,1.61亿,1792万,--,--,--,157万,1.80亿,--,--,2.72亿,4.77亿,9.33亿,--,--,--,--,--,303万,--,--,3.70亿,1.29亿,--,--,--,--,券商信托002500
4.21%,0.94%,93.73%,4.76,22.46%,0.04次,79.00%,6.21亿,27.7亿,27.7亿,694亿,548亿,694亿,36.8亿,15.3亿,--,--,27.7亿,--,--,112亿,--,1.27亿,4.27亿,1563万,--,--,--,187万,2.07亿,--,--,2.47亿,2210万,4.82亿,--,--,--,1849万,--,301万,--,--,1.48亿,1.62亿,--,--,--,--,券商信托000750
5.59%,1.37%,99.97%,4.26,39.41%,0.03次,76.50%,11.1亿,28.1亿,28.1亿,861亿,659亿,861亿,37.4亿,17.7亿,--,--,28.1亿,--,--,107亿,--,1800万,6.73亿,2156万,--,--,--,7441万,2.21亿,--,--,2.08亿,2000万,1.80亿,--,--,--,2945万,--,164万,--,--,1.59亿,4.54亿,--,--,--,--,券商信托601198
6.11%,2.30%,100.13%,2.81,45.26%,0.05次,64.45%,3.05亿,6.74亿,6.74亿,146亿,94.3亿,146亿,9.17亿,4.17亿,--,--,6.74亿,--,--,48.0亿,--,4237万,-737万,276万,--,--,--,3714万,3783万,--,--,--,--,2.13亿,--,--,--,187万,--,25.0万,--,--,4974万,242万,--,3638万,--,--,券商信托002945
5.71%,1.37%,98.09%,3.90,14.16%,0.10次,74.34%,8.85亿,62.5亿,62.5亿,646亿,480亿,646亿,80.9亿,19.0亿,--,--,62.5亿,--,--,152亿,--,2.34亿,9.92亿,2243万,--,--,--,2154万,2.50亿,--,--,6.70亿,7592万,8.26亿,--,--,--,7914万,--,216万,--,--,6.86亿,5.22亿,--,--,--,--,券商信托000686
6.26%,1.63%,99.86%,3.80,36.42%,0.04次,73.71%,7.76亿,21.3亿,21.3亿,484亿,356亿,484亿,24.8亿,13.9亿,--,--,21.3亿,--,--,166亿,--,1.08亿,7962万,1249万,--,--,--,2.19万,2.19亿,--,--,--,--,2.65亿,--,--,--,--,--,7.28万,--,--,6772万,1.24亿,--,--,--,--,券商信托601696
4.47%,1.38%,98.31%,3.58,28.64%,0.05次,72.08%,7.57亿,26.4亿,26.4亿,612亿,441亿,612亿,37.7亿,16.6亿,--,--,26.4亿,--,--,135亿,--,6785万,4.17亿,1645万,--,--,--,159万,1.58亿,--,--,15.1亿,1130万,7.09亿,--,--,--,--,--,48.3万,--,--,1.68亿,9949万,--,--,--,--,券商信托002939
5.92%,2.03%,99.75%,3.30,40.10%,0.05次,69.67%,11.2亿,28.0亿,28.0亿,640亿,446亿,640亿,36.2亿,16.6亿,--,--,28.0亿,--,--,142亿,--,4707万,2.14亿,2038万,--,--,--,648万,3.33亿,--,--,1852万,1370万,6.05亿,--,--,--,--,--,244万,--,--,6.03亿,1.72亿,--,--,--,--,券商信托002926
2.91%,0.75%,88.72%,4.11,16.49%,0.05次,75.68%,3.27亿,19.9亿,19.9亿,447亿,338亿,447亿,27.2亿,10.4亿,--,--,19.9亿,--,--,77.7亿,--,1.49亿,2501万,1154万,--,--,--,491万,9033万,--,--,11.4亿,2248万,7.03亿,--,--,--,1749万,--,35.7万,--,--,1.83亿,2.79亿,--,2285万,--,--,券商信托601375
6.71%,1.93%,94.95%,3.81,42.15%,0.05次,73.77%,9.20亿,21.8亿,21.8亿,509亿,375亿,509亿,31.8亿,10.9亿,--,--,21.8亿,--,--,98.4亿,--,5307万,2.58亿,1884万,--,--,--,172万,2.17亿,--,--,12.3亿,383万,7.41亿,--,--,--,4736万,--,32.4万,--,--,5.48亿,2.59亿,--,6361万,--,--,券商信托600909
6.01%,2.21%,99.42%,3.11,39.51%,0.06次,67.83%,6.56亿,16.6亿,16.6亿,346亿,234亿,346亿,19.6亿,9.98亿,--,--,16.6亿,--,--,84.9亿,--,1982万,1.25亿,1228万,--,--,--,278万,2.11亿,--,--,4.54亿,585万,1.69亿,--,--,--,--,--,54.3万,--,--,9.31亿,6829万,--,480万,--,--,券商信托601990
3.97%,1.16%,87.39%,3.74,22.30%,0.05次,73.25%,3.96亿,17.8亿,17.8亿,349亿,255亿,349亿,25.0亿,11.3亿,--,--,17.8亿,--,--,74.8亿,--,2.76亿,2.18亿,1457万,--,--,--,377万,6404万,--,--,14.5亿,1453万,5.03亿,--,--,--,3.33亿,--,42.2万,--,--,1.40亿,3.81亿,--,1367万,--,--,券商信托002797
1.60%,0.47%,73.98%,3.28,10.64%,0.04次,69.51%,2.62亿,24.6亿,24.6亿,589亿,409亿,589亿,34.7亿,17.6亿,--,--,24.6亿,--,--,86.0亿,--,5.88亿,287万,2039万,--,--,--,6211万,4328万,--,--,6.53亿,6750万,9.38亿,--,--,--,1.58亿,--,895万,--,--,1.15亿,2.00亿,--,3.67亿,--,--,券商信托601162
7.28%,3.98%,84.51%,1.90,9.17%,0.43次,47.35%,2.77亿,30.2亿,30.2亿,73.5亿,34.8亿,73.5亿,30.1亿,25.8亿,30.0亿,43.5亿,30.2亿,21.9亿,3.14亿,5.29亿,--,3.67亿,-1605万,1131万,--,--,--,673万,6053万,5274万,8.33亿,--,2252万,-132万,--,1.03亿,9745万,--,463万,235万,1.58亿,--,28.1亿,2119万,10.2亿,9.60亿,1.68亿,4.01亿,农药兽药002258
6.95%,4.47%,86.28%,1.71,5.47%,0.82次,41.66%,4.72亿,86.4亿,86.4亿,110亿,45.9亿,110亿,86.7亿,80.3亿,51.4亿,58.7亿,86.4亿,72.0亿,6.68亿,11.9亿,--,5.63亿,-4.57万,3787万,--,--,--,1495万,10000万,3685万,11.1亿,2.28亿,1.01亿,1481万,--,2.72亿,2.51亿,1.05亿,2040万,1830万,3.59亿,--,36.7亿,3361万,12.6亿,8.05亿,2.31亿,3.13亿,农药兽药600596
14.62%,8.51%,91.01%,1.94,15.63%,0.54次,48.33%,3.15亿,20.1亿,20.1亿,46.6亿,22.5亿,46.6亿,21.9亿,18.2亿,19.3亿,27.3亿,20.1亿,14.9亿,2.83亿,4.11亿,--,3.60亿,1826万,1593万,--,--,--,58.9万,2986万,2359万,5.32亿,4.11亿,3870万,1.54亿,--,1.11亿,1.08亿,802万,--,462万,1.48亿,--,13.5亿,1127万,5.57亿,4.11亿,1.38亿,2.10亿,农药兽药002734
13.17%,6.60%,100.15%,2.19,6.88%,0.96次,54.30%,2.53亿,36.7亿,36.7亿,44.5亿,24.2亿,44.5亿,37.1亿,33.2亿,25.7亿,18.8亿,36.7亿,30.1亿,2.25亿,6.40亿,--,2.31亿,--,992万,--,--,--,12.7万,6613万,523万,5.88亿,1.95亿,8778万,3793万,--,6157万,1.43亿,1045万,39.9万,302万,1.58亿,--,11.7亿,5436万,8.63亿,1.32亿,--,1.08亿,农药兽药600389
-0.97%,-0.82%,100.00%,1.16,-3.35%,0.24次,13.89%,-613万,1.83亿,1.83亿,7.33亿,1.02亿,7.33亿,1.87亿,1.91亿,5.03亿,2.30亿,1.83亿,1.53亿,3574万,2.79亿,--,3217万,--,191万,--,--,--,86.3万,67.5万,-481万,1.66亿,2751万,--,306万,--,2046万,823万,5667万,1106万,1.05万,2009万,--,1.00亿,155万,3474万,45.9万,74.7万,399万,农药兽药600538
-6.20%,-3.90%,83.31%,1.80,-23.04%,0.17次,44.47%,-2.28亿,9.88亿,9.88亿,57.1亿,25.4亿,57.1亿,10.1亿,11.9亿,24.1亿,33.0亿,9.88亿,6.72亿,5.25亿,4.86亿,--,2.62亿,--,1048万,--,--,6190万,122万,-2346万,5245万,4.39亿,1.73亿,8447万,1719万,--,6820万,4.67亿,--,1316万,394万,4.05亿,--,21.2亿,1.15亿,6.44亿,3.98亿,6063万,3631万,农药兽药002496
